@relation GasFurnaceOld
@attribute TimeStamp integer[0,289]
@attribute Ytm1 real[45.6,60.5]
@attribute Ytm2 real[45.6,60.5]
@attribute Ytm3 real[45.6,60.5]
@attribute Ytm4 real[45.6,60.5]
@attribute Utm1 real[45.6,60.5]
@attribute Utm2 real[-2.72,2.83]
@attribute Utm3 real[-2.72,2.83]
@attribute Utm4 real[-2.72,2.83]
@attribute Utm5 real[-2.72,2.83]
@attribute Utm6 real[-2.72,2.83]
@attribute Yt real[-2.72,2.83]
@inputs Ytm1, Ytm2, Ytm3, Ytm4, Utm1, Utm2, Utm3, Utm4, Utm5, Utm6
@outputs Yt
@data
272,54.8,54.9,54.9,54.5,53.8,-0.033,-0.158,-0.276,-0.424,-0.645,-0.928
273,54.4,54.8,54.9,54.9,54.5,0.102,-0.033,-0.158,-0.276,-0.424,-0.645
274,53.7,54.4,54.8,54.9,54.9,0.251,0.102,-0.033,-0.158,-0.276,-0.424
275,53.3,53.7,54.4,54.8,54.9,0.28,0.251,0.102,-0.033,-0.158,-0.276
276,52.8,53.3,53.7,54.4,54.8,0.0,0.28,0.251,0.102,-0.033,-0.158
277,52.6,52.8,53.3,53.7,54.4,-0.493,0.0,0.28,0.251,0.102,-0.033
278,52.6,52.6,52.8,53.3,53.7,-0.759,-0.493,0.0,0.28,0.251,0.102
279,53.0,52.6,52.6,52.8,53.3,-0.824,-0.759,-0.493,0.0,0.28,0.251
280,54.3,53.0,52.6,52.6,52.8,-0.74,-0.824,-0.759,-0.493,0.0,0.28
281,56.0,54.3,53.0,52.6,52.6,-0.528,-0.74,-0.824,-0.759,-0.493,0.0
282,57.0,56.0,54.3,53.0,52.6,-0.204,-0.528,-0.74,-0.824,-0.759,-0.493
283,58.0,57.0,56.0,54.3,53.0,0.034,-0.204,-0.528,-0.74,-0.824,-0.759
284,58.6,58.0,57.0,56.0,54.3,0.204,0.034,-0.204,-0.528,-0.74,-0.824
285,58.5,58.6,58.0,57.0,56.0,0.253,0.204,0.034,-0.204,-0.528,-0.74
286,58.3,58.5,58.6,58.0,57.0,0.195,0.253,0.204,0.034,-0.204,-0.528
287,57.8,58.3,58.5,58.6,58.0,0.131,0.195,0.253,0.204,0.034,-0.204
288,57.3,57.8,58.3,58.5,58.6,0.017,0.131,0.195,0.253,0.204,0.034
289,57.0,57.3,57.8,58.3,58.5,-0.182,0.017,0.131,0.195,0.253,0.204
